Factitious 	 অস্বাভাবিক; কৃত্রিম; Sham; artificial
Chimerical 	 unreal; imaginary, highly unrealistic; অবাস্তব; কাল্পনিক
Infallible 	 Exempt from error, right; ভুল বা অন্যায় করতে অসমর্থ; অভ্রান্ত
Impede 	 Interfere, block, hinder;ব্যাহত, বাধাগ্রস্ত করা বাধা দেওয়া
Sedate 	 Quiet; still; undisturbed; sober; অচঞ্চল; শান্ত; প্রসন্ন
Lithe 	 moving and bending with ease; (ব্যাক্তি বা শরীরের ক্ষেত্রে) নমনীয়; সহজে নড়াচড়া করা যায় এমন
Bliss 	 Happiness, pleasure; পরম সুখময়
Exhort 	 Urge strongly, advise; সনির্বন্ধ অনুরোধ করা; বিশেষভাবে উপদেশ দেওয়া বা উদ্বুদ্ধ করা
Indolent 	 Lazy; কুড়ে; অলস; পরিশ্রমবিমুখ
Nondescript 	 Undistinguished, difficult to describe; (ব্যাক্তি বা বস্তু) সহজে শ্রেনীভুক্ত করা যায় না এমন
Mortify 	 Embarrass, humiliate; লজ্জা বা অপমানে মর্মাহত বা অভিভূত করা; মর্মান্তিক আঘাত করা
Peremptory 	 Absolute, compulsory, binding; (আদেশ বুঝাতে) চূড়ান্ত,; যা অবশ্যমান্য ও প্রশ্নাতীতভাবে পালনীয়; সবিশেষ আদেশাত্মক; চরম কর্তৃত্বপূর্ণ
Precedent 	 an example that is used to justify similar occurrences at a later time; model; নজির; পূর্বনিদর্শন; পূর্বদৃষ্টান্ত
Jubilant 	 Joyful, in high spirits; আনন্দে চিত্কার্রত; বিজয়ানন্দে উৎফুল্ল
ostensible 	 seeming, pretend, outward; (যুক্তি সম্বন্ধে) প্রকৃত কারন গোপন করারা চেষ্টায় উপস্থাপন করা; লোকদেখানো; বাহ্যত প্রতীয়মান; আপাত
surfeit 	 an excessive amount of something.
Expedite 	 speed up the progress of; facilitate; Carry out promptly; অগ্রগতিতে সহায়তা করা; ত্বরান্বিত করা
Emulate 	 Rival, strike to equal; সমকক্ষ হতে বা ছাড়িয়ে যেতে চেষ্টা করা
tacit 	 understood without being openly expressed; implied, not stated
conundrum 	 riddle, the answer to which involves a play on words; any mystery
incensed 	 very angry; enraged.

Internecine 	 mutually destructive; (যুদ্ধ সম্পকে) উভয়পক্ষের জন্যেই ধবংসাত্মক; পরস্পরবিধ্বংসী; অন্তর্ঘাতী
Distraught 	 Mentally confused, crazed; বিক্ষিপ্তচিত্ত; উন্মাদগ্রস্ত
Incisive 	 (of a person or mental process) intelligently analytical and clear-thinking
Impeccable 	 Faultless; নিখুঁত; নিষ্কলঙ্ক
Exonerate 	 To free from guilt; (অভিযোগাদি হতে) মুক্তি দেওয়া
Vicissitude 	 difficulties; a variation in circumstances or fortune at different times in your life or in the development of something; (বিশেষত কারো ভাগ্যের) পরিবর্তন; উত্থানপতন
Imperative 	 something absolutely has to be done and cannot be put off; urgent; necessary; compulsory; জরুরী; অপরিহার্য; অত্যাবশ্যক
Taint 	 contaminate or pollute (something); a trace of a bad or undesirable substance or quality
Virile 	 manly; vigor; full of strength or sexual potency; পুরুষোচিত
Revere 	 Honor, respect, admire;to respect someone so deeply that you almost worship them; গভীর শ্রদ্ধা করা; পবিত্র হিসাবে শ্রদ্ধা করা
Avarice 	 Greed, passion for riches; অর্থলিপ্সা; ধনলিপ্সা; লোভ; লালসা
Insatiable 	 Cannot be satisfied; অতৃপ্ত; তৃপ্তিহীন
Fracas 	 Noisy fight, noisy quarrel; হৈচৈ; হট্টগোল; হাঙ্গামা; তুমুল কলহ
Inebriated 	 Drunk, intoxicated; মাতাল করা
Platitude 	 Commonplace or tribe saying; নীরস মামুলী উক্তি বা বক্তব্য; বহুশ্রুত স্বতঃসিদ্ধ উক্তি
Pique 	 Fit of resentment; কারও অহংকার বা আত্মসম্মানে আঘাত করা 2. (উৎসাহ;ঔৎসুক্য) জাগিয়ে তোলা
Wane 	 Decrease, decline; ক্ষীণকায় হত্তয়া; ক্রমশ হ্রাস পাত্তয়া
Encumbrance 	 Burden, load; বাধা; বোঝা; দায়
Condescend 	 Stoop, lower oneself; 1. স্বেচ্ছায় উচ্চাসন থেকে নেমে আসা; 2. নিজের অবনমিত করা, ছোট করা; ৩ নিজের শ্রেষ্টত্ব সম্পর্কে পূর্ন সচেতন থেকে অন্যের প্রতি সদয় বা প্রসন্ন ব্যবহার করা
Jocose 	 Humorous, merry; রসিক; রসিকতাপূর্ণ; তামাশাপূর্ণ; হাসিখুশি
Malign 	 (v) Abuse, slander; মন্দ বলা; কলঙ্ক বা কুৎসা রটানো (adj) (বস্তু সম্পর্কে) ক্ষতিকর, অপকারী, (রোগ সম্পর্কে) মারাত্মক
Charlatan 	 Pretender, fraud; যে ব্যাক্তি স্বীয় মাত্রার অতিরিক্ত দক্ষতা, জ্ঞান বা সক্ষমতার ভণিতা করে, বিশেষত হাতুড়ে বৈদ্য বা ডাক্তার
arbiter 	 someone chosen to judge and decide a disputed issue; someone with the power to settle matters at will
dissent 	 protest, differ, disagree; ভিন্নমত পোষণ করা; ভিন্নমতের প্রকাশ
fervid 	 enthusiastic, passionate, intense; তপ্ত; উদ্দীপ্ত; ঐকান্তিক
lassitude 	 fatigue, weariness; অবসন্নতা; নিস্তেজ ভাব; ক্লান্তভাব
milieu 	 setting, the environmental condition; পারিপার্শ্বিক অবস্থা; সামাজিক পারিপার্শ্বিকতা
Celerity 	 Speed, rapidity; দ্রুততা; তৎপরতা
Usurp 	 Seize, annex, grab; (কারো ক্ষমতা, কর্তৃত্ব, পদ) অন্যায়ভাবে দখল করা; জবরদখল করা
Menial 	 Humble, degrading; (adj) চাকরবাকরের উপযোগী; চাকরবাকরের দ্বারা করানোর মতো; (n) চাকর; ভৃত্য
Venerable 	 accorded a great deal of respect, especially because of age, wisdom, or character, Respected
Facetious 	 Comical, humorous, witty; not meant to be taken seriously or literally; ইয়ারকিপূর্ন বা ঠাট্টাবিদ্রূপপূর্ণ
Penitent 	 feeling or showing sorrow and regret for having done wrong; feeling or expressing remorse for misdeeds; কৃত অপরাধের জন্য অনুতপ্ত

Nuance 	 Slight variation in meaning, tone, etc.
Incongruous 	 Inappropriate; inconsistent or incompatible with something else, not in harmony; বেমানান; বেখাপ; অসংলগ্ন
Construe 	 To make a deduction, to infer; (কথা, বক্তব্য বা কাজের) ব্যাখ্যা দান করা
Desist 	 stop doing something; cease or abstain; নিরত; নিবৃত হওয়া
Poignant 	 evoking a keen sense of sadness or regret
Incoherent 	 (of spoken or written language) expressed in an incomprehensible or confusing way; unclear; garbled; অসংলগ্ন; অসম্বদ্ধ
Embellish 	 Adorn; make more attractive by adding ornament, colour, etc; make more beautiful; সুন্দর করা; সুশোভিত করা
Perpetrate 	 perform an act, usually with a negative connotation; (কোনো অপরাধ বা ত্রুটি) সংঘটন করা; অন্যায় সাধন করা; রুচিগর্হিত কিছু করা
Urbane 	 Polished; witty; showing a high degree of refinement and the assurance that comes from wide social experience
Mendacious 	 Lying, untrue; মিথ্যা; মিথ্যাবাদী
Plight 	 Predicament, dangerous situation; গুরুতর ও কঠিন অবস্থা; দশা; দুর্দশা; দুরবস্থা
Introspective 	 Examining one's own perceptions and sensory experiences; thoughtful about oneself; নিজের চিন্তা ও অনুভূতি পরীক্ষা করা
Entreaty 	 Appeal; begging or pleading for something; সনির্বন্ধ অনুরোধ; অনুনয় - বিনয়
Deplorable 	 Sad; pitiable; শোচনীয়; দুখঃজনক
Congenial 	 person is easy to get along with; agreeable; সমপ্রকৃতিবিশিষ্ট; সমরুচিসম্পন্ন
Detriment 	 Injury; damage; hurt; ক্ষতি; অপকার
Remiss 	 lacking care or attention to duty; negligent; অবহেলাকারী; অমনোযোগী
Rebuke 	 express sharp disapproval or criticism of (someone) because of their behaviour or actions, Criticize, reproach, reprimand
Idyllic 	 Simple, peaceful; suggestive of an idyll; প্রশান্ত পল্লীপ্রকৃতিসদৃশ; শান্তসমাহিত
Extraneous 	 irrelevant or unrelated to the subject being dealt with, foreign, not belonging; নিজস্ব নয় এমন; বহিরাগত; বাইরের
Salubrious 	 Healthful, wholesome; (বিশেষত জলবায়ু সম্বন্ধে) স্বাস্থ্যকর; স্বাস্থ্যপ্রদ
Somber 	 Gloomy, sad; অন্ধকারময়; বিষন্ন; নিরানন্দ মলিন
Debilitate 	 Weaken; দুর্বল করা
Impetuous 	 pertaining to, or characterized by sudden or rash action, emotion, etc; Impulsive; moving with great force
Occult 	 Secret, mysterious, supernatural
Discreet 	 Careful, cautious, prudent; সতর্ক; কৌশলী; কথা বা কাজ ভেবেচিন্তে করে এমন; বিচক্ষন
Foment 	 Stir up, instigate 1.(ব্যথা কমানোর জন্য শরীরের অংশবিশেষ) সেক দেওয়া 2. (বিশৃঙ্খলা, অসন্তোষ, বিদ্বেষ ইত্যাদি) উদ্দীপিত করা; প্রকোপিত করা; ইন্ধন জোগানো
Glean 	 Gather, collect; ফসল তোলার পর মাঠে পড়ে থাকা শস্যদানা খুঁটে তোলা; টুকরো খবর সংগ্রহ করা
Slovenly 	 Disorderly, carelessly; অগোছালো; নোংরা। যত্নহীন
Abjure 	 Renounce, abstain from; (বিশ্বাস, অধিকার, পাপাচার ইত্যাদি) পরিহার করার জন্য শপথপুর্বক বা প্রকাশ্যে প্রতিশ্রুতি দেওয়া
Reproach 	 Rebuke, reprimand; নিন্দা করা; ভর্ত্সনা করা; কটুবাক্য; মৃদু গালাগাল
Evanescent 	 soon passing out of sight, memory, or existence; quickly fading or disappearing; tending to vanish like vapor; বিলীয়মান
Tantamount 	 Equivalent, identical; সমপরিমাণ; তুল্যমূল্য; সামিল
Propensity 	 Disposition, inclination, bent; স্বাভাবিক প্রবণতা;প্রবৃত্তি
Wary 	 Watchful, shrewd; সতর্ক
Allay 	 Calm, soothe; lessen the intensity of; (যন্ত্রনা, উত্তেজনা, ভয় ইত্যাদি) লাঘব করা
Deter 	 Hinder, discourage; নিরুৎসাহিত করা; বাধা দেত্তয়া
